OTU_ID	rel_enrich	threemod	en0.1	en0.2	en0.3	en0.4	en0.5	en0.6	en0.7	en0.8	en0.9	en1	Phylum	Family	Genus	Species
OTU_672	26.49398182	Asthmatic	Asthmatic	NA	NA	NA	NA	NA	NA	NA	NA	NA	Actinobacteria	Dermacoccaceae	Dermacoccus	Unassigned
OTU_8055	33.68115942	Asthmatic	Asthmatic	NA	NA	NA	NA	NA	NA	NA	NA	NA	Firmicutes	Staphylococcaceae	Jeotgalicoccus	Unassigned
OTU_991	9.36256448	Asthmatic	Asthmatic	NA	NA	NA	NA	NA	NA	NA	NA	NA	Firmicutes	Paenibacillaceae	Unassigned	Unassigned
OTU_39107	0.814541882	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Firmicutes	Staphylococcaceae	Staphylococcus	Unassigned
OTU_3321	1.094080079	Asthmatic	Asthmatic	Asthmatic	Asthmatic	NA	NA	NA	NA	NA	NA	NA	Firmicutes	Peptostreptococcaceae	Unassigned	Unassigned
OTU_1517	7.422254974	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Firmicutes	Veillonellaceae	Megasphaera	Unassigned
OTU_50619	0.308032424	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Actinobacteria	Corynebacteriaceae	Corynebacterium	Unassigned
OTU_13300	0.098992876	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Bacteroidetes	Prevotellaceae	Prevotella	Unassigned
OTU_407	68.65315647	Asthmatic	Asthmatic	Asthmatic	NA	NA	NA	NA	NA	NA	NA	NA	Bacteroidetes	Odoribacteraceae	Odoribacter	Unassigned
OTU_368	27.29968067	Asthmatic	Asthmatic	NA	NA	NA	NA	NA	NA	NA	NA	NA	Firmicutes	Tissierellaceae	Helcococcus	Unassigned
OTU_610	23.26037829	Asthmatic	Asthmatic	Asthmatic	Asthmatic	NA	NA	NA	NA	NA	NA	NA	Bacteroidetes	Paraprevotellaceae	Prevotella	tannerae
OTU_268	116.5389339	Asthmatic	Asthmatic	NA	NA	NA	NA	NA	NA	NA	NA	NA	Proteobacteria	Pasteurellaceae	Haemophilus	Unassigned
OTU_9205	5.844264309	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	NA	NA	NA	NA	NA	NA	Tenericutes	Mycoplasmataceae	Ureaplasma	Unassigned
OTU_14416	1.104396954	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	NA	NA	NA	Asthmatic	Asthmatic	Asthmatic	Bacteroidetes	Chitinophagaceae	Unassigned	Unassigned
OTU_5176	58.74821911	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	NA	NA	NA	NA	NA	Proteobacteria	Rhodobacteraceae	Paracoccus	aminovorans
OTU_1973	4.359862442	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	NA	Firmicutes	Unassigned	Unassigned	Unassigned
OTU_796	24.32547286	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	NA	NA	NA	NA	NA	NA	Tenericutes	Mycoplasmataceae	Mycoplasma	Unassigned
OTU_14278	0.107835913	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	NA	Cyanobacteria	Unassigned	Unassigned	Unassigned
