#SampleID	sex
700013549	female
700014386	male
700014403	male
700014409	male
700014412	male
700014415	male
700014418	male
700014421	male
700014424	male
700014427	male
700014430	male
700014445	male
700014488	male
700014497	male
700014501	male
700014515	male
700014516	male
700014517	male
700014518	male
700014519	male
700014520	male
700014521	male
700014522	male
700014523	male
700014524	male
700014527	male
700014555	female
700014559	female
700014603	male
700014604	male
700014605	male
700014606	male
700014607	male
700014608	male
700014609	male
700014611	male
700014612	male
700014613	male
700014718	male
700014731	female
700014734	female
700014737	female
700014740	female
700014743	female
700014746	female
700014749	female
700014752	female
700014755	female
700014764	female
700014767	female
700014770	female
700014773	female
700014776	female
700014783	male
700014785	male
700014786	male
700014787	male
700014788	male
700014789	male
700014790	male
700014791	male
700014792	male
700014793	male
700014794	male
700014796	male
700014797	male
700014828	male
700014832	male
700014909	male
700014911	male
700014912	male
700014913	male
700014914	male
700014915	male
700014916	male
700014917	male
700014918	male
700014919	male
700014923	male
700014954	male
700014965	male
700014971	male
700014974	male
700014977	male
700014980	male
700014983	male
700014986	male
700014989	male
700014992	male
700014995	male
700014998	male
700015004	male
700015007	male
700015068	male
700015070	male
700015071	male
700015072	male
700015073	male
700015074	male
700015075	male
700015076	male
700015077	male
700015078	male
700015079	male
700015082	male
700015113	female
700015125	female
700015131	female
700015134	female
700015137	female
700015140	female
700015143	female
700015146	female
700015149	female
700015152	female
700015155	female
700015158	female
700015167	female
700015170	female
700015173	female
700015176	female
700015179	female
700015191	female
700015197	female
700015200	female
700015203	female
700015206	female
700015209	female
700015212	female
700015215	female
700015218	female
700015221	female
700015227	female
700015233	female
700015236	female
700015239	female
700015242	female
700015245	male
700015257	male
700015263	male
700015266	male
700015269	male
700015272	male
700015275	male
700015278	male
700015281	male
700015284	male
700015287	male
700015290	male
700015293	male
700015296	male
700015299	male
700015386	female
700015390	male
700015394	female
700015422	female
700015428	female
700015431	female
700015434	female
700015437	female
700015440	female
700015442	female
700015443	female
700015444	female
700015445	female
700015446	female
700015447	female
700015448	female
700015449	female
700015450	female
700015451	female
700015452	female
700015453	female
700015454	female
700015455	female
700015456	female
700015457	female
700015544	female
700015545	female
700015550	female
700015553	female
700015556	female
700015559	female
700015571	female
700015574	female
700015577	female
700015631	male
700015639	male
700015642	male
700015645	male
700015648	male
700015651	male
700015654	male
700015657	male
700015660	male
700015663	male
700015666	male
700015669	male
700015672	male
700015675	male
700015702	female
700015714	female
700015720	female
700015729	female
700015732	female
700015735	female
700015738	female
700015741	female
700015744	female
700015756	female
700015759	female
700015762	female
700015765	female
700015979	female
700015991	female
700015997	female
700016000	male
700016004	female
700016008	female
700016036	male
700016038	male
700016039	male
700016040	male
700016041	male
700016042	male
700016043	male
700016044	male
700016045	male
700016046	male
700016047	male
700016048	male
700016049	male
700016050	male
700016051	female
700016052	female
700016053	female
700016054	female
700016055	female
700016056	female
700016057	female
700016123	male
700016125	male
700016126	male
700016127	male
700016128	male
700016129	male
700016130	male
700016131	male
700016132	male
700016134	male
700016135	male
700016136	male
700016138	male
700016140	female
700016299	female
700016301	female
700016302	female
700016303	female
700016304	female
700016305	female
700016306	female
700016307	female
700016308	female
700016309	female
700016310	female
700016311	female
700016312	female
700016313	female
700016344	female
700016346	female
700016347	female
700016348	female
700016349	female
700016350	female
700016351	female
700016352	female
700016353	female
700016354	female
700016498	female
700016499	female
700016500	female
700016542	female
700016546	female
700016548	female
700016549	female
700016550	female
700016551	female
700016552	female
700016553	female
700016554	female
700016555	female
700016561	female
700016562	female
700016563	female
700016608	male
700016620	male
700016626	male
700016629	male
700016632	male
700016635	male
700016638	male
700016641	male
700016644	male
700016647	male
700016650	male
700016653	male
700016656	male
700016659	male
700016662	male
700016902	male
700016906	male
700016908	male
700016909	male
700016910	male
700016911	male
700016912	male
700016913	male
700016914	male
700016915	male
700016920	male
700021140	male
700021282	male
700021283	male
700021284	male
700021285	male
700021286	male
700021287	male
700021288	male
700021289	male
700021290	male
700021291	male
700021293	male
700021294	male
700021295	male
700021312	male
700021313	male
700021314	male
700021315	male
700021316	male
700021358	male
700021359	male
700021677	male
700021678	male
700021679	male
700021681	male
700021682	male
700021683	female
700021684	female
700021685	female
700021808	male
700021809	male
700021810	male
700021887	female
700021888	female
700021889	female
700021890	female
700021891	female
700021895	female
700021897	female
700021899	female
700021900	female
700021901	female
700021902	female
700023056	female
700023057	female
700023058	female
700023059	female
700023060	female
700023061	female
700023062	female
700023063	female
700023066	female
700023067	female
700023068	female
700023069	female
700023070	female
700023071	female
700023072	female
700023073	female
700023074	female
700023171	female
700023174	female
700023175	female
700023176	female
700023177	female
700023178	female
700023179	female
700023180	female
700023182	female
700023183	female
700023184	female
700023185	female
700023186	female
700023187	female
700023188	female
700023227	female
700023228	female
700023229	female
700023230	female
700023231	female
700023232	female
700023233	female
700023234	female
700023235	female
700023237	female
700023238	female
700023239	female
700023240	female
700023241	female
700023242	female
700023243	female
700023244	female
700023245	female
700023286	male
700023287	male
700023288	male
700023289	male
700023290	male
700023291	male
700023292	male
700023293	male
700023294	male
700023298	male
700023299	male
700023380	female
700023382	female
700023383	female
700023385	female
700023386	female
700023387	female
700023388	female
700023389	female
700023391	female
700023392	female
700023393	female
700023394	female
700023395	female
700023396	female
700023397	female
700023398	female
700023437	female
700023439	female
700023440	female
700023441	female
700023442	female
700023443	female
700023444	female
700023445	female
700023446	female
700023447	female
700023448	female
700023449	female
700023450	female
700023451	female
700023452	female
700023453	female
700023454	female
700023455	female
700023494	male
700023496	male
700023497	male
700023498	male
700023499	male
700023500	male
700023502	male
700023503	male
700023504	male
700023505	male
700023506	male
700023507	male
700023509	male
700023541	male
700023543	male
700023544	male
700023545	male
700023546	male
700023547	male
700023548	male
700023549	male
700023550	male
700023551	male
700023552	male
700023553	male
700023554	male
700023556	male
700023598	male
700023599	male
700023600	male
700023601	male
700023634	female
700023635	female
700023636	female
700023637	female
700023639	female
700023640	female
700023641	female
700023642	female
700023643	female
700023645	female
700023646	female
700023647	female
700023648	female
700023649	female
700023650	female
700023651	female
700023652	female
700023691	female
700023693	female
700023694	female
700023695	female
700023696	female
700023697	female
700023698	female
700023699	female
700023700	female
700023701	female
700023702	female
700023703	female
700023704	female
700023705	female
700023706	female
700023707	female
700023708	female
700023709	female
700023805	female
700023807	female
700023808	female
700023809	female
700023810	female
700023811	female
700023812	female
700023813	female
700023814	female
700023815	female
700023816	female
700023817	female
700023818	female
700023819	female
700023821	female
700023822	female
700023823	female
700023862	female
700023864	female
700023865	female
700023866	female
700023867	female
700023868	female
700023869	female
700023870	female
700023871	female
700023872	female
700023873	female
700023874	female
700023875	female
700023876	female
700023877	female
700023878	female
700023879	female
700023880	female
700023919	male
700023920	male
700023921	male
700023922	male
700023923	male
700023924	male
700023925	male
700023927	male
700023928	male
700023929	male
700023930	male
700023931	male
700023932	male
700023933	male
700023934	male
700023967	female
700023968	female
700023969	female
700023970	female
700023971	female
700023972	female
700023973	female
700023974	female
700023975	female
700023976	female
700023978	female
700023979	female
700023980	female
700023981	female
700023982	female
700023983	female
700023984	female
700023985	female
700024024	female
700024027	female
700024028	female
700024029	female
700024030	female
700024031	female
700024032	female
700024033	female
700024034	female
700024040	female
700024041	female
700024042	female
700024081	male
700024082	male
700024084	male
700024085	male
700024086	male
700024087	male
700024089	male
700024090	male
700024091	male
700024092	male
700024093	male
700024094	male
700024095	male
700024096	male
700024129	female
700024130	female
700024132	female
700024134	female
700024135	female
700024136	female
700024139	female
700024140	female
700024141	female
700024142	female
700024143	female
700024144	female
700024145	female
700024146	female
700024147	female
700024190	male
700024192	male
700024194	male
700024195	male
700024196	male
700024197	male
700024198	male
700024199	male
700024200	male
700024201	male
700024234	female
700024235	female
700024236	female
700024237	female
700024238	female
700024239	female
700024240	female
700024241	female
700024242	female
700024245	female
700024246	female
700024247	female
700024248	female
700024249	female
700024250	female
700024251	female
700024252	female
700024291	male
700024292	male
700024293	male
700024294	male
700024295	male
700024296	male
700024297	male
700024299	male
700024300	male
700024301	male
700024302	male
700024303	male
700024304	male
700024305	male
700024306	male
700024339	female
700024341	female
700024342	female
700024343	female
700024344	female
700024345	female
700024346	female
700024347	female
700024348	female
700024349	female
700024355	female
700024356	female
700024357	female
700024396	male
700024398	male
700024399	male
700024400	male
700024401	male
700024402	male
700024404	male
700024405	male
700024406	male
700024407	male
700024408	male
700024409	male
700024410	male
700024411	male
700024444	male
700024445	male
700024447	male
700024448	male
700024449	male
700024450	male
700024452	male
700024453	male
700024454	male
700024455	male
700024456	male
700024457	male
700024458	male
700024459	male
700024492	male
700024493	male
700024494	male
700024495	male
700024496	male
700024497	male
700024500	male
700024501	male
700024502	male
700024503	male
700024504	male
700024505	male
700024506	male
700024507	male
700024540	male
700024541	male
700024542	male
700024543	male
700024544	male
700024545	male
700024546	male
700024548	male
700024549	male
700024550	male
700024551	male
700024552	male
700024553	male
700024554	male
700024555	male
700024588	male
700024589	male
700024590	male
700024591	male
700024592	male
700024593	male
700024594	male
700024596	male
700024597	male
700024598	male
700024599	male
700024600	male
700024601	male
700024602	male
700024603	male
700024636	male
700024638	male
700024639	male
700024640	male
700024641	male
700024642	male
700024643	male
700024644	male
700024645	male
700024646	male
700024647	male
700024648	male
700024650	male
700024651	male
700024684	male
700024685	male
700024686	male
700024687	male
700024688	male
700024689	male
700024690	male
700024692	male
700024693	male
700024694	male
700024695	male
700024696	male
700024698	male
700024699	male
700024732	female
700024733	female
700024734	female
700024735	female
700024736	female
700024739	female
700024740	female
700024741	female
700024743	female
700024744	female
700024745	female
700024746	female
700024747	female
700024748	female
700024749	female
700024750	female
700024790	female
700024791	female
700024792	female
700024793	female
700024794	female
700024795	female
700024796	female
700024797	female
700024800	female
700024801	female
700024802	female
700024804	female
700024805	female
700024806	female
700024807	female
700024846	female
700024847	female
700024848	female
700024849	female
700024850	female
700024851	female
700024852	female
700024853	female
700024854	female
700024855	female
700024857	female
700024858	female
700024859	female
700024860	female
700024861	female
700024862	female
700024863	female
700024864	female
700024903	male
700024904	male
700024905	male
700024906	male
700024907	male
700024908	male
700024909	male
700024910	male
700024911	male
700024912	male
700024913	male
700024914	male
700024915	male
700024916	male
700024917	male
700024951	male
700024952	male
700024953	male
700024954	male
700024955	male
700024956	male
700024958	male
700024959	male
700024960	male
700024961	male
700024962	male
700024963	male
700024964	male
700024965	male
700024966	male
700033000	female
700033003	female
700033006	female
700033009	female
700033012	female
700033015	female
700033018	female
700033021	female
700033024	female
700033027	female
700033030	female
700033033	female
700033036	female
700033039	female
700033042	female
700033130	female
700033134	female
700033136	female
700033137	female
700033138	female
700033139	female
700033140	female
700033141	female
700033142	female
700033143	female
700033144	female
700033145	female
700033146	female
700033147	female
700033148	female
700033149	female
700033150	female
700033151	female
700033436	female
700033448	female
700033454	female
700033457	female
700033460	female
700033463	female
700033466	female
700033469	female
700033472	female
700033475	female
700033478	female
700033481	female
700033484	female
700033487	female
700033490	female
700033493	female
700033496	female
700033499	female
700033726	female
700033730	female
700033732	female
700033733	female
700033734	female
700033735	female
700033736	female
700033737	female
700033738	female
700033739	female
700033740	female
700033741	female
700033742	female
700033743	female
700033744	female
700033745	female
700033746	female
700033747	female
700037000	female
700037001	female
700037002	female
700037004	female
700037005	female
700037006	female
700037007	female
700037008	female
700037027	male
700037028	male
700037029	male
700037030	male
700037031	male
700037032	male
700037034	male
700037035	male
700037036	male
700037037	male
700037038	male
700037039	male
700037040	male
700037075	male
700037077	male
700037078	male
700037079	male
700037080	male
700037081	male
700037082	male
700037083	male
700037084	male
700037086	male
700037087	male
700037088	male
700037089	male
700037090	male
700037123	female
700037124	female
700037126	female
700037127	female
700037128	female
700037129	female
700037130	female
700037131	female
700037132	female
700037133	female
700037134	female
700037135	female
700037137	female
700037138	female
700037139	female
700037140	female
700037141	female
700037180	female
700037182	female
700037183	female
700037184	female
700037185	female
700037186	female
700037187	female
700037188	female
700037189	female
700037190	female
700037191	female
700037192	female
700037193	female
700037194	female
700037195	female
700037196	female
700037197	female
700037198	female
700037247	male
700037248	male
700037249	male
700037285	female
700037287	female
700037288	female
700037289	female
700037290	female
700037291	female
700037292	female
700037293	female
700037295	female
700037296	female
700037299	female
700037301	female
700037302	female
700037303	female
700037342	male
700037344	male
700037345	male
700037346	male
700037347	male
700037348	male
700037349	male
700037350	male
700037351	male
700037352	male
700037353	male
700037354	male
700037355	male
700037356	male
700037357	male
700037390	male
700037392	male
700037393	male
700037394	male
700037395	male
700037396	male
700037397	male
700037398	male
700037399	male
700037400	male
700037401	male
700037402	male
700037403	male
700037404	male
700037405	male
700037438	male
700037439	male
700037440	male
700037441	male
700037442	male
700037443	male
700037444	male
700037445	male
700037446	male
700037447	male
700037448	male
700037449	male
700037451	male
700037453	male
700037534	male
700037535	male
700037536	male
700037537	male
700037538	male
700037539	male
700037540	male
700037542	male
700037543	male
700037544	male
700037545	male
700037546	male
700037547	male
700037548	male
700037549	male
700037634	male
700037635	male
700037682	female
700037683	female
700037684	female
700037685	female
700037686	female
700037687	female
700037689	female
700037690	female
700037691	female
700037692	female
700037693	female
700037694	female
700037695	female
700037696	female
700037697	female
700037698	female
700037700	female
700037739	female
700037741	female
700037742	female
700037743	female
700037744	female
700037745	female
700037749	female
700037750	female
700037751	female
700037752	female
700037796	female
700037798	female
700037799	female
700037800	female
700037801	female
700037802	female
700037803	female
700037804	female
700037805	female
700037806	female
700037807	female
700037808	female
700037809	female
700037810	female
700037811	female
700037812	female
700037813	female
700037814	female
700037853	male
700037854	male
700037855	male
700037856	male
700037901	male
700037902	male
700037903	male
700037904	male
700037949	female
700037950	female
700037954	female
700037955	female
700037956	female
700037959	female
700037960	female
700037961	female
700037962	female
700037963	female
700037964	female
700037965	female
700037966	female
700037967	female
700038006	male
700038007	male
700038008	male
700038009	male
700038010	male
700038013	male
700038014	male
700038015	male
700038016	male
700038017	male
700038018	male
700038019	male
700038020	male
700038021	male
700038065	female
700038067	female
700038121	male
700038122	male
700038123	male
700038124	male
700038159	female
700038160	female
700038162	female
700038216	male
700038218	male
700038219	male
700038220	male
700038221	male
700038222	male
700038223	male
700038224	male
700038225	male
700038226	male
700038227	male
700038229	male
700038231	male
700038276	female
700038277	female
700038339	male
700038340	male
700038341	male
700038342	male
700038343	male
700038344	male
700038346	male
700038347	male
700038348	male
700038349	male
700038350	male
700038351	male
700038352	male
700038353	male
700038354	male
700038387	male
700038388	male
700038389	male
700038390	male
700038435	male
700038437	male
700038438	male
700038439	male
700038440	male
700038441	male
700038442	male
700038443	male
700038444	male
700038445	male
700038446	male
700038447	male
700038448	male
700038450	male
700038485	male
700038486	male
700038487	male
700038488	male
700038489	male
700038490	male
700038491	male
700038492	male
700038493	male
700038494	male
700038495	male
700038496	male
700038497	male
700038498	male
700038531	male
700038533	male
700038534	male
700038535	male
700038536	male
700038537	male
700038538	male
700038539	male
700038540	male
700038541	male
700038542	male
700038543	male
700038544	male
700038579	male
700038581	male
700038582	male
700038583	male
700038584	male
700038585	male
700038586	male
700038587	male
700038588	male
700038591	male
700038592	male
700038593	male
700038594	male
700038686	female
700038687	female
700038688	female
700038689	female
700038690	female
700038692	female
700038693	female
700038694	female
700038695	female
700038696	female
700038697	female
700038699	female
700038700	female
700038701	female
700038702	female
700038741	female
700038742	female
700038744	female
700038745	female
700038746	female
700038747	female
700038748	female
700038749	female
700038750	female
700038751	female
700038752	female
700038753	female
700038757	female
700038758	female
700038759	female
700038798	female
700038799	female
700038865	male
700038866	male
700038867	male
700038868	male
700038912	male
700038913	male
700038914	male
700038915	male
700038951	male
700038952	male
700038953	male
700038954	male
700038955	male
700038956	male
700038957	male
700038959	male
700038960	male
700038961	male
700038962	male
700038963	male
700038964	male
700038965	male
700038966	male
700095353	male
700095357	male
700095359	male
700095360	male
700095361	male
700095362	male
700095363	male
700095364	male
700095365	male
700095366	male
700095367	male
700095368	male
700095369	male
700095370	male
700095371	male
700095410	male
700095414	male
700095416	male
700095417	male
700095418	male
700095419	male
700095420	male
700095421	male
700095423	male
700095424	male
700095425	male
700095426	male
700095428	male
700095774	male
700095778	male
700095780	male
700095781	male
700095782	male
700095783	male
700095784	male
700095785	male
700095786	male
700095787	male
700095788	male
700095789	male
700095790	male
700095956	male
700095960	male
700095962	male
700095963	male
700095964	male
700095965	male
700095966	male
700095967	male
700095968	male
700095969	male
700095970	male
700095971	male
700095974	male
700096047	male
700096051	male
700096053	male
700096054	male
700096055	male
700096056	male
700096057	male
700096058	male
700096059	male
700096060	male
700096061	male
700096065	male
700096267	male
700096271	male
700096273	male
700096274	male
700096275	male
700096276	male
700096277	male
700096278	male
700096279	male
700096280	male
700096281	male
700096283	male
700096284	male
700096323	male
700096568	female
700096572	female
700096574	female
700096575	female
700096576	female
700096578	female
700096579	female
700096580	female
700096581	female
700096582	female
700096583	female
700096586	female
700096587	female
700096588	female
700096589	female
700096590	female
700096594	female
700096596	female
700096597	female
700096598	female
700096599	female
700096600	female
700096601	female
700096602	female
700096603	female
700096605	female
700096607	female
700096608	female
700096609	female
700096610	female
700096611	female
700097234	male
700097238	male
700097240	male
700097241	male
700097242	male
700097243	male
700097244	male
700097245	male
700097246	male
700097247	male
700097248	male
700097249	male
700097250	male
700097252	male
700097291	female
700097295	female
700097297	female
700097298	female
700097299	female
700097300	female
700097301	female
700097302	female
700097303	female
700097304	female
700097305	female
700097306	female
700097307	female
700097308	female
700097310	female
700097311	female
700097312	female
700097433	female
700097570	male
700097631	male
700097635	male
700097637	male
700097638	male
700097639	male
700097640	male
700097641	male
700097642	male
700097643	male
700097644	male
700097645	male
700097646	male
700097647	male
700097648	male
700097649	male
700098124	female
700098271	female
700098273	female
700098274	female
700098275	female
700098276	female
700098277	female
700098278	female
700098279	female
700098280	female
700098281	female
700098282	female
700098283	female
700098284	female
700098285	female
700098286	female
700098287	female
700098288	female
700098359	female
700098363	female
700098365	female
700098366	female
700098367	female
700098368	female
700098369	female
700098370	female
700098371	female
700098372	female
700098373	female
700098374	female
700098376	female
700098377	female
700098378	female
700098379	female
700098380	female
700098611	female
700098673	female
700098679	female
700098681	female
700098682	female
700098932	female
700098936	female
700098938	female
700098939	female
700098940	female
700098941	female
700098942	female
700098943	female
700098944	female
700098946	female
700098947	female
700098949	female
700098950	female
700098951	female
700098952	female
700098953	female
700099002	female
700099006	female
700099008	female
700099009	female
700099010	female
700099011	female
700099012	female
700099013	female
700099014	female
700099015	female
700099016	female
700099017	female
700099018	female
700099019	female
700099020	female
700099059	female
700099063	female
700099065	female
700099066	female
700099067	female
700099068	female
700099069	female
700099070	female
700099071	female
700099072	female
700099073	female
700099074	female
700099075	female
700099076	female
700099077	female
700099078	female
700099079	female
700099080	female
700099345	female
700099346	female
700099347	female
700099395	male
700099460	female
700099529	female
700099590	male
700099594	male
700099596	male
700099597	male
700099598	male
700099599	male
700099600	male
700099601	male
700099602	male
700099603	male
700099604	male
700099605	male
700099606	male
700099607	male
700099608	male
700099746	male
700099750	male
700099752	male
700099753	male
700099754	male
700099755	male
700099756	male
700099757	male
700099758	male
700099759	male
700099760	male
700099761	male
700099762	male
700099763	male
700099971	female
700100227	female
700100231	female
700100233	female
700100234	female
700100235	female
700100236	female
700100237	female
700100238	female
700100239	female
700100240	female
700100241	female
700100242	female
700100244	female
700100245	female
700100246	female
700100247	female
700100248	female
700101638	male
700101642	male
700101644	male
700101645	male
700101646	male
700101647	male
700101648	male
