OTU_ID	Mean Difference	Three-model significant group	EN 0.1 (enriched group)	EN 0.2 (enriched group)	EN 0.3 (enriched group)	EN 0.4 (enriched group)	EN 0.5 (enriched group)	EN 0.6 (enriched group)	EN 0.7 (enriched group)	EN 0.8 (enriched group)	EN 0.9 (enriched group)	EN 1.0 (enriched group)	taxonomy
363519	1.1322652757079	Lean	Lean	NA	NA	NA	NA	NA	NA	NA	NA	NA	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Christensenellaceae; g__; s__
178064	7.72332339791356	Lean	Lean	Lean	NA	NA	NA	NA	NA	NA	NA	NA	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__
178746	2.18971684053651	Lean	Lean	Lean	Lean	Lean	Lean	Lean	Lean	Lean	Lean	Lean	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
194457	0.364530551415797	Lean	Lean	NA	NA	NA	NA	NA	NA	NA	NA	NA	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
289679	1.15938897168405	Lean	Lean	Lean	Lean	Lean	Lean	Lean	Lean	Lean	Lean	NA	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__; s__
331411	1.49642324888227	Lean	Lean	Lean	NA	NA	NA	NA	NA	NA	NA	NA	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
326136	0.110208643815201	Lean	Lean	Lean	Lean	Lean	Lean	Lean	Lean	Lean	Lean	Lean	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
194322	0.958569299552906	Lean	Lean	Lean	Lean	Lean	Lean	Lean	Lean	Lean	Lean	Lean	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
559302	0.961847988077496	Lean	Lean	Lean	Lean	Lean	NA	NA	NA	NA	NA	NA	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
4453609	0.235022354694486	Lean	Lean	Lean	Lean	Lean	Lean	Lean	Lean	Lean	Lean	Lean	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__; s__
