OTU_IDs	Poiss_Coeff	Poiss_pval	Poiss_qval	NB_Coeff	NB_pval	NB_qval	ZINB_Coeff	ZINB_pval	ZINB_qval	mean in group Lean	mean in group Not_Lean	Lean_minus_Not_Lean_mean	ttest_pval	ttest_qval	KW_pval	KW_qval	NB_Coeff_Estimate_Error	# of 0's in Lean	# of 0's in Not_Lean	# of non-zeroes in Lean	# of non-zeroes in Not_Lean	Total count in Lean	Total count in Not_Lean	mean_otu	variance_otu	var/mean ratio	Shapiro_Wilk_Normality_pvalue	taxonomy	pois_filt_pval	pois_filt_qval	nb_filt_pval	nb_filt_qval	zinb_filt_pval	zinb_filt_qval	aic.pois	aic.nb	aic.zinb	bic.pois	bic.nb	bic.zinb	aic.filt.pois	aic.filt.nb	aic.filt.zinb	bic.filt.pois	bic.filt.nb	bic.filt.zinb	aic.nonfilt.best	bic.nonfilt.best	aic.filt.best	bic.filt.best
188753	0.806611570231752	0.53862325494477	0.997505844537157	0.806611570247936	0.688386540767432	0.999996762100542	0.806606666570732	0.688378059555014	0.999853324140808	0.180327868852459	0.145454545454545	0.0348733233979136	0.707838110194397	0.819286238161008	0.896023570299079	0.941431155836961	no	55	199	6	21	11	32	0.153024911032028	0.394356888662938	2.57707641196013	5.52649572454162e-32	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__	1	1	NA	NA	NA	NA	286.37830968562	238.209090892508	240.209311187187	293.655019024287	249.124154900509	254.762729864522	4.00000000070551	NA	NA	11.276709339373	NA	NA	NB	NB	Poisson	Poisson
181342	0.369696969696965	0.00357663560167548	0.017318779837191	0.369696969696971	0.237311912423473	0.893313346421095	0.369712782616469	0.237318972629088	0.850795528926343	0.245901639344262	0.0909090909090909	0.154992548435171	0.312128773582122	0.527403331049286	0.191540147458335	0.626103737692632	no	56	211	5	9	15	20	0.124555160142349	0.545144890696492	4.37673469387755	1.88851960499043e-33	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__02d06; s__	1	1	NA	NA	NA	NA	265.071908902078	161.255443154003	163.255634661584	272.348618240746	172.170507162004	177.809053338919	4.00000000074162	NA	NA	11.2767093394091	NA	NA	NB	NB	Poisson	Poisson
3589405	2.31268093049238e-09	0.996621469973399	0.997505844537157	8.50787768309329e-10	0.997847761734067	0.999996762100542	2.31216709353286e-09	0.997951011030952	0.999853324140808	0.0327868852459016	0	0.0327868852459016	0.159008166097851	0.527403331049286	0.00713379637432446	0.119530060382433	yes	59	220	2	0	2	0	0.00711743772241993	0.00709201830198272	0.996428571428572	6.3110444314492e-35	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__	1	1	NA	NA	NA	NA	21.6709067678167	23.6709328226425	25.6709436422645	28.9476161064842	34.5859968306437	40.2243623195995	4.00000000077495	NA	NA	11.2767093394424	NA	NA	Poisson	Poisson	Poisson	Poisson
4467993	0.277272727844909	0.364375918407902	0.761914257684243	0.277272727272729	0.364401942482809	0.999996762100542	0.277258949900388	0.364382400392413	0.976695094077547	0.0163934426229508	0.00454545454545455	0.0118479880774963	0.488470104826817	0.66171223029863	0.330920812764377	0.745183545897382	yes	60	219	1	1	1	1	0.00711743772241993	0.00709201830198272	0.996428571428572	6.3110444314492e-35	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae; g__Actinomyces; s__	1	1	NA	NA	NA	NA	27.0090028210513	29.0091556167924	31.0090987060126	34.2857121597188	39.9242196247937	45.5625173833476	4.00000000077495	NA	NA	11.2767093394424	NA	NA	Poisson	Poisson	Poisson	Poisson
355102	1.11359940539782	0.285611751301154	0.661719314267545	1.11359940872136	0.655313276624802	0.999996762100542	1.11359447345313	0.655326210796995	0.999853324140808	2.01639344262295	2.24545454545455	-0.229061102831595	0.778024971150782	0.868145534714111	0.0470582542816318	0.314025307552401	no	34	88	27	132	123	494	2.19572953736655	27.6579816980173	12.5962607084973	7.09910519786217e-30	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__	0.000404812303995683	0.028715387070447	0.0365073747356619	0.466864135931959	0.0365227190374768	0.428289833978978	1883.22791123361	1074.31835766974	1076.31875499962	1890.50462057227	1085.23342167774	1090.87217367695	1197.2009419822	957.794597192846	959.795079132527	1204.47765132087	968.709661200847	974.348497809862	NB	NB	NB	NB
4465907	0.610749376688906	6.52840964276646e-07	5.93314034422469e-06	0.610749385749386	0.0556164445703522	0.462002457837557	0.610747400590376	0.0556146270859797	0.415966936834862	2.42622950819672	1.48181818181818	0.944411326378539	0.325826652324677	0.529032453923123	0.813520810301467	0.898029641444344	no	29	115	32	105	148	326	1.68683274021352	18.65871886121	11.0613924050633	8.29070908666183e-30	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__	0.0548132404216991	1	0.222534547599708	0.730405504851231	0.213277744320583	0.69692060904378	1616.69673516505	936.827518992157	938.828039414077	1623.97344450372	947.742583000159	953.381458091412	944.506740345061	796.880263406704	798.844499640711	951.783449683729	807.795327414706	813.397918318046	NB	NB	NB	NB
4465905	0.369696969683917	0.00916823695499313	0.0399019205164721	0.369696969696971	0.0772465747162362	0.535300655755979	0.369655562635271	0.077211746667911	0.481574354465541	0.19672131147541	0.0727272727272727	0.123994038748137	0.172968134323334	0.527403331049286	0.0933331839592315	0.425175855534047	no	54	208	7	12	12	16	0.099644128113879	0.197178444331469	1.97882653061225	2.28467724803451e-32	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__	1	1	NA	NA	NA	NA	200.003119992914	176.321482590512	178.321700763526	207.279829331582	187.236546598513	192.875119440861	4.00000000072773	NA	NA	11.2767093393952	NA	NA	NB	NB	Poisson	Poisson
198956	1.06576704527128	0.649883136809472	0.997505844537157	1.06576704545455	0.791421144959261	0.999996762100542	1.06576468120588	0.79143278691697	0.999853324140808	1.04918032786885	1.11818181818182	-0.0690014903129657	0.841265342753618	0.908101047849854	0.0633103172812204	0.32964819160155	no	41	111	20	109	64	246	1.10320284697509	3.74288256227758	3.39274193548387	7.6717067639947e-25	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Faecalibacterium; s__prausnitzii	0.0249846562435376	0.725884002139374	0.0690632977315055	0.522273196170821	0.166315069184828	0.660920886887828	1004.7715900595	811.342156405334	813.342933204771	1012.04829939817	822.257220413335	827.896351882107	689.09372157258	660.911116823799	659.436504688442	696.370430911247	671.8261808318	673.989923365777	NB	NB	ZINB	NB
177313	0.0489304812721395	4.56079115586172e-27	1.39167828454283e-25	0.0489304812834226	1.32925538301879e-07	5.18599493003474e-05	0.048930622650543	1.32900021205262e-07	6.04695096483942e-05	1.39344262295082	0.0681818181818182	1.325260804769	0.101820733065632	0.527403331049286	2.96990769034874e-05	0.00377247344294996	no	48	209	13	11	85	15	0.355871886120996	8.70147432638536	24.4511428571429	1.9598011029618e-34	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Parabacteroides; s__distasonis	1	1	NA	NA	NA	NA	578.891041019305	239.737242052412	241.737362449019	586.167750357973	250.652306060413	256.290781126354	4.00000000071384	NA	NA	11.2767093393813	NA	NA	NB	NB	Poisson	Poisson
177310	0.457920109070564	5.50101920825538e-07	5.04137028783404e-06	0.457920110192839	0.208152918430699	0.844604946587055	0.457919286848143	0.208147003839297	0.793709380310736	1.08196721311475	0.495454545454545	0.586512667660209	0.369326781986229	0.5751208089233	0.921527339877455	0.951612424116452	no	53	191	8	29	66	109	0.622775800711744	10.7643365531266	17.2844489795918	3.64242723871663e-33	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__	1	1	NA	NA	NA	NA	1069.81211148071	386.599934300181	388.600229726346	1077.08882081938	397.514998308182	403.153648403681	4.00000000067773	NA	NA	11.2767093393452	NA	NA	NB	NB	Poisson	Poisson
